Variable,Year,Value,RSE,Industry
Sheep receipts ($),2010,88280,9,Mixed
Sheep sold (no.),2010,700,8,Mixed
Shire and PPB rates ($),2010,9970,5,Mixed
Sorghum area sown (ha),2010,5,29,Mixed
Sorghum produced (t),2010,17,26,Mixed
Sorghum receipts ($),2010,3440,36,Mixed
Steers and other beef cattle at 30 June (no.),2010,23,20,Mixed
Stores and rations ($),2010,30,50,Mixed
Telephone ($),2010,3210,6,Mixed
Total area cropped (ha),2010,502,6,Mixed
Total area irrigated (ha),2010,,,Mixed
Total cash costs ($),2010,357590,5,Mixed
Total cash receipts ($),2010,422410,6,Mixed
Total closing capital ($),2010,4821360,5,Mixed
Total crop gross receipts ($),2010,186410,7,Mixed
Total family income ($),2010,66640,14,Mixed
Total freight ($),2010,12580,8,Mixed
Total labor used (weeks),2010,93,3,Mixed
Total non farm income ($),2010,46950,7,Mixed
Total off farm wages ($),2010,25130,13,Mixed
Total wool sold (kg),2010,6823,8,Mixed
Value of land and fixed improvements ($),2010,3986900,6,Mixed
Vet fees ($),2010,580,19,Mixed
Wages for hired labor ($),2010,9770,13,Mixed
Water charges ($),2010,2020,21,Mixed
Wethers at 30 June (no.),2010,116,16,Mixed
Wheat area sown (ha),2010,260,7,Mixed
Wheat produced (t),2010,386,8,Mixed
Wheat receipts ($),2010,100150,9,Mixed
Wheat sold (t),2010,362,10,Mixed
Wool cut per head (kg),2010,4.3,2,Mixed
Wool produced (kg),2010,6539,7,Mixed
Wool receipts ($),2010,48970,8,Mixed
AI stud fees and herd testing ($),2010,330,51,Sheep
Accounting services ($),2010,3420,11,Sheep
Advisory services ($),2010,490,24,Sheep
Age of owner manager (yrs),2010,58,2,Sheep
Age of spouse (yrs),2010,54,2,Sheep
Agistment ($),2010,1390,34,Sheep
Area operated at 30 June (ha),2010,4245,10,Sheep
Barley area sown (ha),2010,14,26,Sheep
Barley produced (t),2010,21,25,Sheep
Barley receipts ($),2010,3200,53,Sheep
Beef bulls at 30 June (no.),2010,1,21,Sheep
Beef calves at 30 June (no.),2010,12,18,Sheep
Beef cattle purchased ($),2010,4400,26,Sheep
Beef cattle purchased (no.),2010,6,28,Sheep
Beef cattle receipts ($),2010,16640,15,Sheep
Beef cattle sold (no.),2010,19,15,Sheep
Beef cattle transferred off farm (no.),2010,0,83,Sheep
Beef cattle transferred onto farm (no.),2010,0,104,Sheep
Beef cows at 30 June (no.),2010,19,16,Sheep
Beef heifers at 30 June (no.),2010,5,25,Sheep
Beef herd at 30 June (no.),2010,43,15,Sheep
Branding rate (%),2010,88,2,Sheep
Buildup in trading stocks ($),2010,15520,36,Sheep
Canola area sown (ha),2010,7,52,Sheep
Canola produced (t),2010,8,34,Sheep
Canola receipts ($),2010,4000,37,Sheep
Capital appreciation ($),2010,113550,20,Sheep
Capital at 1 July ($),2010,3563920,6,Sheep
Change in farm debt ($),2010,12150,116,Sheep
Contracts - cropping ($),2010,8690,18,Sheep
Contracts - livestock ($),2010,2190,19,Sheep
Cotton receipts ($),2010,930,159,Sheep
Crop and pasture chemicals ($),2010,8620,28,Sheep
Dairy cattle at June 30 (no.),2010,0,,Sheep
Depreciation ($),2010,31960,7,Sheep
Electricity ($),2010,3220,9,Sheep
Equity ratio at 30 June (%),2010,91,1,Sheep
Ewes at 30 June (no.),2010,1776,5,Sheep
Family share of farm income ($),2010,54710,18,Sheep
Farm business debt at 30 June ($),2010,337730,13,Sheep
Farm business equity June 30 ($),2010,3290440,6,Sheep
Farm business profit ($),2010,4750,201,Sheep
Farm cash income ($),2010,85250,13,Sheep
Farm liquid assets at 30 June ($),2010,159650,19,Sheep
Fertiliser ($),2010,18700,14,Sheep
Field peas area sown (ha),2010,1,87,Sheep
Field peas produced (t),2010,1,87,Sheep
Field peas receipts ($),2010,60,117,Sheep
Fodder ($),2010,7680,14,Sheep
Fuel oil and grease ($),2010,15770,14,Sheep
Grain legumes area sown (ha),2010,5,58,Sheep
Grain legumes produced (t),2010,5,56,Sheep
Grain legumes receipts ($),2010,580,60,Sheep
Handling and marketing ($),2010,10870,14,Sheep
Hours worked on farm - total (hrsperwk),2010,76,4,Sheep
Hours worked on farm by owner manager (hrsperwk),2010,44,4,Sheep
Hours worked on farm by spouse (hrsperwk),2010,14,10,Sheep
Imputed labor cost ($),2010,64070,4,Sheep
Insurance ($),2010,7380,7,Sheep
Interest paid ($),2010,23910,13,Sheep
Lambs at 30 June (no.),2010,658,7,Sheep
Land rent ($),2010,3590,19,Sheep
Leasing charges ($),2010,430,51,Sheep
Livestock materials ($),2010,9240,10,Sheep
Livestock transfers - inwards ($),2010,460,51,Sheep
Livestock transfers - outward ($),2010,1150,48,Sheep
Lupins area sown (ha),2010,3,88,Sheep
Lupins produced (t),2010,3,87,Sheep
Lupins receipts ($),2010,530,66,Sheep
Net capital additions ($),2010,14740,134,Sheep
Oats area sown (ha),2010,14,23,Sheep
Oats produced (t),2010,21,21,Sheep
Oats receipts ($),2010,1070,33,Sheep
Off farm contracts ($),2010,7920,63,Sheep
Off farm sharefarming ($),2010,1670,112,Sheep
Off-farm work for owner manager (hrsperwk),2010,6,28,Sheep
Off-farm work for spouse (hrsperwk),2010,11,12,Sheep
Oilseeds area sown (ha),2010,7,48,Sheep
Oilseeds produced (t),2010,8,32,Sheep
Oilseeds receipts ($),2010,5090,29,Sheep
Other administration expenses ($),2010,3520,17,Sheep
Other farm income ($),2010,17030,14,Sheep
Other livestock purchased ($),2010,90,68,Sheep
Other livestock receipts ($),2010,2790,29,Sheep
Other materials ($),2010,3570,12,Sheep
Other services ($),2010,6480,15,Sheep
Payments to sharefarmers ($),2010,2090,62,Sheep
Population,2010,7313,,Sheep
Produce purchased for resale ($),2010,430,120,Sheep
Profit at full equity ($),2010,32540,31,Sheep
Profit at full equity including capital appreciation ($),2010,146080,17,Sheep
Rams at 30 June (no.),2010,38,8,Sheep
Rate of return ex. capital appreciation (%),2010,0.9,29,Sheep
Rate of return inc. capital appreciation (%),2010,3.9,16,Sheep
Repairs and maintenance ($),2010,21270,8,Sheep
Rice area sown (ha),2010,0,101,Sheep
Sample Contributing,2010,230,,Sheep
Seed ($),2010,1980,18,Sheep
Shearing crutching ($),2010,20480,6,Sheep
Sheep and lambs shorn (no.),2010,2916,6,Sheep
Sheep flock at 30 June (no.),2010,2848,5,Sheep
Sheep purchased ($),2010,17230,17,Sheep
Sheep purchased (no.),2010,115,23,Sheep
Sheep receipts ($),2010,129380,7,Sheep
Sheep sold (no.),2010,1132,6,Sheep
Shire and PPB rates ($),2010,7680,6,Sheep
Sorghum area sown (ha),2010,0,,Sheep
Sorghum produced (t),2010,0,,Sheep
Sorghum receipts ($),2010,0,,Sheep
Steers and other beef cattle at 30 June (no.),2010,6,27,Sheep
Stores and rations ($),2010,240,30,Sheep
Telephone ($),2010,2540,7,Sheep
Total area cropped (ha),2010,131,21,Sheep
Total area irrigated (ha),2010,,,Sheep
Total cash costs ($),2010,234050,7,Sheep
Total cash receipts ($),2010,319300,7,Sheep
Total closing capital ($),2010,3705650,5,Sheep
Total crop gross receipts ($),2010,48450,35,Sheep
Total family income ($),2010,112910,11,Sheep
Total freight ($),2010,7240,10,Sheep
Total labor used (weeks),2010,84,4,Sheep
Total non farm income ($),2010,56120,12,Sheep
Total off farm wages ($),2010,38390,18,Sheep
Total wool sold (kg),2010,12191,6,Sheep
Value of land and fixed improvements ($),2010,3071880,6,Sheep
Vet fees ($),2010,790,23,Sheep
Wages for hired labor ($),2010,6840,16,Sheep
Water charges ($),2010,810,23,Sheep
Wethers at 30 June (no.),2010,376,12,Sheep
Wheat area sown (ha),2010,68,33,Sheep
Wheat produced (t),2010,106,31,Sheep
Wheat receipts ($),2010,30880,50,Sheep
Wheat sold (t),2010,100,31,Sheep
Wool cut per head (kg),2010,4.3,2,Sheep
Wool produced (kg),2010,12430,6,Sheep
Wool receipts ($),2010,94280,7,Sheep
AI stud fees and herd testing ($),2010,880,37,Sheep-Beef
Accounting services ($),2010,4600,9,Sheep-Beef
Advisory services ($),2010,610,23,Sheep-Beef
Age of owner manager (yrs),2010,59,3,Sheep-Beef
Age of spouse (yrs),2010,54,3,Sheep-Beef
Agistment ($),2010,3690,50,Sheep-Beef
Area operated at 30 June (ha),2010,6810,11,Sheep-Beef
Barley area sown (ha),2010,6,33,Sheep-Beef
Barley produced (t),2010,8,33,Sheep-Beef
Barley receipts ($),2010,1080,46,Sheep-Beef
Beef bulls at 30 June (no.),2010,8,10,Sheep-Beef
Beef calves at 30 June (no.),2010,122,12,Sheep-Beef
Beef cattle purchased ($),2010,25460,25,Sheep-Beef
Beef cattle purchased (no.),2010,27,31,Sheep-Beef
Beef cattle receipts ($),2010,167010,9,Sheep-Beef
Beef cattle sold (no.),2010,194,9,Sheep-Beef
Beef cattle transferred off farm (no.),2010,0,81,Sheep-Beef
Beef cattle transferred onto farm (no.),2010,0,102,Sheep-Beef
Beef cows at 30 June (no.),2010,206,9,Sheep-Beef
Beef heifers at 30 June (no.),2010,50,12,Sheep-Beef
Beef herd at 30 June (no.),2010,446,9,Sheep-Beef
Branding rate (%),2010,88,2,Sheep-Beef
Buildup in trading stocks ($),2010,-10910,144,Sheep-Beef
Canola area sown (ha),2010,9,44,Sheep-Beef
Canola produced (t),2010,10,36,Sheep-Beef
Canola receipts ($),2010,6790,36,Sheep-Beef
Capital appreciation ($),2010,198950,43,Sheep-Beef
Capital at 1 July ($),2010,5895640,6,Sheep-Beef
Change in farm debt ($),2010,4630,352,Sheep-Beef
Contracts - cropping ($),2010,6990,22,Sheep-Beef
Contracts - livestock ($),2010,2400,32,Sheep-Beef
Cotton receipts ($),2010,0,,Sheep-Beef
Crop and pasture chemicals ($),2010,7150,14,Sheep-Beef
Dairy cattle at June 30 (no.),2010,0,,Sheep-Beef
Depreciation ($),2010,38260,7,Sheep-Beef
Electricity ($),2010,4680,12,Sheep-Beef
Equity ratio at 30 June (%),2010,92,1,Sheep-Beef
Ewes at 30 June (no.),2010,1503,8,Sheep-Beef
Family share of farm income ($),2010,36540,38,Sheep-Beef
Farm business debt at 30 June ($),2010,469070,16,Sheep-Beef
Farm business equity June 30 ($),2010,5330680,6,Sheep-Beef
Farm business profit ($),2010,-10650,143,Sheep-Beef
Farm cash income ($),2010,110020,11,Sheep-Beef
Farm liquid assets at 30 June ($),2010,216020,24,Sheep-Beef
Fertiliser ($),2010,20170,12,Sheep-Beef
Field peas area sown (ha),2010,0,108,Sheep-Beef
Field peas produced (t),2010,0,108,Sheep-Beef
Field peas receipts ($),2010,30,108,Sheep-Beef
Fodder ($),2010,13170,20,Sheep-Beef
Fuel oil and grease ($),2010,17760,12,Sheep-Beef
Grain legumes area sown (ha),2010,2,36,Sheep-Beef
Grain legumes produced (t),2010,3,30,Sheep-Beef
Grain legumes receipts ($),2010,690,31,Sheep-Beef
Handling and marketing ($),2010,17370,10,Sheep-Beef
Hours worked on farm - total (hrsperwk),2010,91,6,Sheep-Beef
Hours worked on farm by owner manager (hrsperwk),2010,46,5,Sheep-Beef
Hours worked on farm by spouse (hrsperwk),2010,17,13,Sheep-Beef
Imputed labor cost ($),2010,71500,5,Sheep-Beef
Insurance ($),2010,9720,9,Sheep-Beef
Interest paid ($),2010,36620,16,Sheep-Beef
Lambs at 30 June (no.),2010,695,10,Sheep-Beef
Land rent ($),2010,6050,27,Sheep-Beef
Leasing charges ($),2010,1320,26,Sheep-Beef
Livestock materials ($),2010,14470,10,Sheep-Beef
Livestock transfers - inwards ($),2010,700,71,Sheep-Beef
Livestock transfers - outward ($),2010,160,92,Sheep-Beef
Lupins area sown (ha),2010,1,11,Sheep-Beef
Lupins produced (t),2010,2,8,Sheep-Beef
Lupins receipts ($),2010,370,9,Sheep-Beef
Net capital additions ($),2010,-124300,116,Sheep-Beef
Oats area sown (ha),2010,11,22,Sheep-Beef
Oats produced (t),2010,6,28,Sheep-Beef
Oats receipts ($),2010,140,66,Sheep-Beef
Off farm contracts ($),2010,5290,64,Sheep-Beef
Off farm sharefarming ($),2010,1070,73,Sheep-Beef
Off-farm work for owner manager (hrsperwk),2010,4,35,Sheep-Beef
Off-farm work for spouse (hrsperwk),2010,5,24,Sheep-Beef
Oilseeds area sown (ha),2010,10,40,Sheep-Beef
Oilseeds produced (t),2010,11,34,Sheep-Beef
Oilseeds receipts ($),2010,7760,32,Sheep-Beef
Other administration expenses ($),2010,5980,14,Sheep-Beef
Other farm income ($),2010,20510,31,Sheep-Beef
Other livestock purchased ($),2010,10,124,Sheep-Beef
Other livestock receipts ($),2010,3560,49,Sheep-Beef
Other materials ($),2010,3940,21,Sheep-Beef
Other services ($),2010,9620,17,Sheep-Beef
Payments to sharefarmers ($),2010,1340,64,Sheep-Beef
Population,2010,4294,,Sheep-Beef
Produce purchased for resale ($),2010,0,,Sheep-Beef
Profit at full equity ($),2010,32920,46,Sheep-Beef
Profit at full equity including capital appreciation ($),2010,231870,39,Sheep-Beef
